타임스탬프,평가 도메인,피험자,시나리오,조건 선택,Q1. 현재 화면에 표시된 토마토는 총 몇개입니까?,Q2. 로봇이 마지막으로 처리한 토마토의 상태는 무엇입니까?,Q3. 현재 상황에서 사용자가 판단해야 하는 핵심 정보는 무엇입니까?,Q4. 현재 상황에서 사용자의 확인이 필요한 이유는 무엇입니까?,Q5. 현재 사용자가 아무 행동도 하지 않으면 로봇은 어떻게 될 가능성이 가장 높습니까?,"Q6. 로봇이 잘못된 토마토를 선택했는데 사용자가 수정하지 않으면, 어떤 결과가 발생할 가능성이 가장 높습니까?",Q1. 현재 화면에서 테이블 위에 놓여있는 물건은 총 몇개입니까?,Q2. 로봇이 마지막으로 처리한 쓰레기의 재질은 무엇입니까?,Q3. 현재 상황에서 사용자가 판단해야 하는 핵심 정보는 무엇입니까?,Q4. 방금 상황에서 사용자의 확인이 필요한 이유는 무엇입니까?,Q5. 현재 사용자가 아무 행동도 하지 않으면 로봇은 어떻게 될 가능성이 가장 높습니까?,"Q6. 로봇이 잘못된 분리수거를 했는데 사용자가 작업을 수정하지 않으면, 어떤 결과가 발생할 가능성이 가장 높습니까?",N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",F. 피로 수준은 어느 정도 입니까?,S1. 상황이 얼마나 변하기 쉬운가요?,S2. 상황이 얼마나 복잡한가요?,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,S4. 현재 상황에서 얼마나 각성되어 있나요?,S5. 현재 상황에 얼마나 집중하고 있나요?,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,S8. 현재 상황에 대해 얼마나 많은 정보를 얻었나요? ,S9. 현재 상황에 대해 얻은 정보가 얼마나 좋은가요? ,S10. 현재 상황에 얼마나 익숙한가요?
2026. 6. 1 오후 1:21:10,분리수거,05,시나리오4,C5: KnowNo,,,,,,,2개 이상,일반쓰레기,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,4,1,1,4,3,1,3,4,3,3,3,4,3,3,4,3,1
2026. 6. 1 오후 1:26:50,분리수거,05,시나리오2,C4: Ours2,,,,,,,1개,종이,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,잘 모르겠다,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,1,2,6,2,1,2,2,1,1,2,2,2,5,3,2,2
2026. 6. 1 오후 1:33:01,분리수거,05,시나리오3,C1: All,,,,,,,1개,일반쓰레기,다음 물체의 존재유무,잘 모르겠다,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,1,1,6,2,1,2,2,2,3,2,4,3,4,2,2,2
2026. 6. 1 오후 1:37:28,분리수거,05,시나리오5,C3: Ours1,,,,,,,1개,캔,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,3,1,1,6,2,1,3,2,1,2,3,4,4,3,2,2,2
2026. 6. 1 오후 1:48:35,토마토 수확,05,시나리오2,C2: No,1개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,6,2,1,1,2,1,1,2,2,2,5,2,2,1
2026. 6. 1 오후 1:54:00,토마토 수확,05,시나리오5,C4: Ours2,2개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,6,2,1,1,2,1,2,2,2,2,5,2,2,1
2026. 6. 1 오후 1:59:55,토마토 수확,05,시나리오4,C1: All,1개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 성숙도 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,5,2,1,3,2,2,3,3,3,3,4,2,2,1
2026. 6. 1 오후 2:06:05,토마토 수확,05,시나리오3,C3: Ours1,2개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,6,2,1,2,2,2,2,2,2,2,5,2,2,1
2026. 6. 1 오후 2:11:46,토마토 수확,05,시나리오1,C5: KnowNo,2개,손상됨,목표한 토마토가 수확 가능한지 여부,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,6,2,1,2,1,1,1,2,2,2,6,2,2,1
2026. 6. 1 오후 4:19:03,토마토 수확,06,시나리오5,C2: No,2개,익음,로봇이 다음 위치로 이동해야 하는지 여부,수확 대상에서 빠진 토마토가 있기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,5,2,1,1,4,1,3,4,5,6,5,6,5,1
2026. 6. 1 오후 4:25:26,토마토 수확,06,시나리오2,C4: Ours2,1개,손상됨,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,6,5,1,1,3,1,3,5,7,7,6,7,6,5
2026. 6. 1 오후 4:31:42,토마토 수확,06,시나리오3,C5: KnowNo,1개,손상됨,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,5,1,1,1,1,2,5,7,7,7,7,7,6
2026. 6. 1 오후 4:38:10,토마토 수확,06,시나리오1,C1: All,1개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 성숙도 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,6,1,1,1,1,1,6,7,7,7,7,7,7
2026. 6. 1 오후 4:44:23,토마토 수확,06,시나리오4,C3: Ours1,2개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,5,1,2,1,1,1,6,7,7,7,7,7,7
2026. 6. 1 오후 4:53:45,분리수거,06,시나리오2,C2: No,,,,,,,0개,캔,다음 물체의 존재유무,잘 모르겠다,작업을 종료함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,2,1,1,4,1,2,7,7,7,7,7,7,2
2026. 6. 1 오후 4:58:47,분리수거,06,시나리오3,C3: Ours1,,,,,,,2개 이상,종이,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,4,1,2,3,2,3,7,7,7,5,7,7,2
2026. 6. 1 오후 5:04:27,분리수거,06,시나리오5,C5: KnowNo,,,,,,,2개 이상,캔,다음 물체의 존재유무,잘 모르겠다,작업을 종료함,로봇이 모든 분리수거 작업을 즉시 종료함,1,1,1,7,5,1,3,1,1,1,6,7,7,7,7,7,4
2026. 6. 1 오후 5:09:31,분리수거,06,시나리오1,C4: Ours2,,,,,,,2개 이상,플라스틱,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,2,1,1,1,1,1,7,7,7,7,7,7,5
2026. 6. 1 오후 5:15:41,분리수거,06,시나리오4,C1: All,,,,,,,2개 이상,일반쓰레기,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,작업을 종료함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,1,6,1,1,1,1,1,7,7,7,7,7,7,7
2026. 6. 1 오후 7:18:15,토마토 수확,02,시나리오4,C5: KnowNo,1개,덜 익음,로봇이 다음 위치로 이동해야 하는지 여부,잘 모르겠다,잘 모르겠다,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,6,3,1,1,2,2,2,3,4,2,5,6,4,1
2026. 6. 1 오후 7:24:36,토마토 수확,02,시나리오2,C3: Ours1,1개,익음,로봇이 다음 위치로 이동해야 하는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,2,1,1,3,2,2,2,2,2,6,4,4,2
2026. 6. 1 오후 7:30:31,토마토 수확,02,시나리오1,C1: All,1개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 성숙도 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,6,1,1,1,4,2,3,1,4,4,7,4,4,2
2026. 6. 1 오후 7:36:15,토마토 수확,02,시나리오3,C2: No,0개,손상됨,로봇이 다음 위치로 이동해야 하는지 여부,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,1,1,1,1,1,1,1,4,4,7,4,4,3
2026. 6. 1 오후 7:41:20,토마토 수확,02,시나리오5,C4: Ours2,1개,익음,목표한 토마토가 수확 가능한지 여부,수확 대상에서 빠진 토마토가 있기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,1,1,1,1,1,2,1,4,2,6,4,4,3
2026. 6. 1 오후 7:51:45,분리수거,02,시나리오3,C2: No,,,,,,,1개,일반쓰레기,다음 물체의 존재유무,잘 모르겠다,작업을 종료함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,2,1,1,1,2,4,4,7,4,4,1
2026. 6. 1 오후 7:56:27,분리수거,02,시나리오4,C3: Ours1,,,,,,,2개 이상,종이,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,5,1,1,1,1,1,3,1,4,4,6,4,4,1
2026. 6. 1 오후 8:00:59,분리수거,02,시나리오1,C5: KnowNo,,,,,,,2개 이상,일반쓰레기,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,1,1,1,2,1,4,4,7,4,4,2
2026. 6. 1 오후 8:05:22,분리수거,02,시나리오2,C4: Ours2,,,,,,,1개,종이,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,1,1,1,3,1,4,4,7,4,4,3
2026. 6. 1 오후 8:10:06,분리수거,02,시나리오5,C1: All,,,,,,,1개,캔,잘 모르겠다,잘 모르겠다,작업을 종료함,잘 모르겠다,1,1,1,7,1,1,1,1,1,3,1,4,5,6,4,4,4
2026. 6. 2 오후 1:13:25,토마토 수확,07,시나리오3,C1: All,1개,손상됨,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,6,2,1,1,1,1,1,6,1,1,7,7,7,4
2026. 6. 2 오후 1:19:06,토마토 수확,07,시나리오5,C4: Ours2,2개,익음,로봇이 다음 위치로 이동해야 하는지 여부,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,7,1,1,2,1,1,1,6,7,7,7,7,7,4
2026. 6. 2 오후 1:25:19,토마토 수확,07,시나리오2,C5: KnowNo,1개,손상됨,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,1,1,1,1,1,1,6,7,1,7,7,7,4
2026. 6. 2 오후 1:30:50,토마토 수확,07,시나리오1,C2: No,1개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,7,1,1,2,1,1,1,6,1,1,7,7,7,4
2026. 6. 2 오후 1:36:28,토마토 수확,07,시나리오4,C3: Ours1,2개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 성숙도 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,1,1,2,1,1,1,6,1,2,7,7,7,4
2026. 6. 2 오후 1:46:52,분리수거,07,시나리오4,C5: KnowNo,,,,,,,2개 이상,종이,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,1,1,6,1,1,1,2,2,2,6,6,1,7,7,7,4
2026. 6. 2 오후 1:51:41,분리수거,07,시나리오1,C3: Ours1,,,,,,,2개 이상,일반쓰레기,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,1,1,1,1,6,1,1,7,7,7,4
2026. 6. 2 오후 1:56:25,분리수거,07,시나리오2,C4: Ours2,,,,,,,1개,일반쓰레기,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,2,1,1,1,5,1,1,6,7,7,4
2026. 6. 2 오후 2:00:39,분리수거,07,시나리오3,C1: All,,,,,,,1개,일반쓰레기,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,1,1,1,1,6,1,1,6,7,7,4
2026. 6. 2 오후 2:04:41,분리수거,07,시나리오5,C2: No,,,,,,,1개,캔,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,1,1,1,7,1,1,2,1,1,1,5,1,1,6,7,7,4
2026. 6. 2 오후 4:13:39,분리수거,09,시나리오3,C4: Ours2,,,,,,,2개 이상,종이,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,4,2,1,7,4,2,5,5,2,3,3,6,1,5,5,4,7
2026. 6. 2 오후 4:18:02,분리수거,09,시나리오5,C2: No,,,,,,,2개 이상,캔,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,잘 모르겠다,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,3,1,1,6,2,2,4,2,2,2,2,5,5,6,3,4,7
2026. 6. 2 오후 4:22:55,분리수거,09,시나리오1,C1: All,,,,,,,2개 이상,캔,다음 물체의 존재유무,대상 물체가 로봇이 잡을 수 있는 범위 밖에 있기 때문,대기 상태를 유지함,잘 모르겠다,2,2,1,7,6,2,5,2,2,5,7,6,1,3,7,5,5
2026. 6. 2 오후 4:27:19,분리수거,09,시나리오4,C5: KnowNo,,,,,,,2개 이상,캔,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,작업을 종료함,로봇이 모든 분리수거 작업을 즉시 종료함,5,1,3,5,6,2,6,6,2,6,7,7,5,2,7,6,6
2026. 6. 2 오후 4:31:20,분리수거,09,시나리오2,C3: Ours1,,,,,,,1개,캔,대상 물체가 올바른 분리수거 통으로 이동했는지 여부,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,3,1,2,7,6,2,5,6,1,5,6,6,3,4,7,6,6
2026. 6. 2 오후 4:42:04,토마토 수확,09,시나리오4,C1: All,1개,익음,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,3,1,1,3,2,1,5,2,1,3,5,1,2,6,7,7,6
2026. 6. 2 오후 4:46:34,토마토 수확,09,시나리오5,C3: Ours1,2개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 성숙도 판단이 불확실하기 때문,대기 상태를 유지함,잘못된 토마토를 수확할 수 있음,,,,,,,2,1,1,7,5,2,5,2,1,3,7,5,2,6,7,7,7
2026. 6. 2 오후 4:51:17,토마토 수확,09,시나리오2,C5: KnowNo,2개,손상됨,목표한 토마토가 수확 가능한지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,1,1,1,7,2,2,6,5,1,3,7,7,2,6,7,7,7
2026. 6. 2 오후 4:56:00,토마토 수확,09,시나리오1,C4: Ours2,1개,익음,로봇이 다음 위치로 이동해야 하는지 여부,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,4,1,1,7,3,1,5,2,1,5,6,2,2,7,7,5,7
2026. 6. 2 오후 5:01:31,토마토 수확,09,시나리오3,C2: No,1개,손상됨,잘 모르겠다,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,5,1,1,4,1,2,5,1,1,1,3,2,2,6,3,4,7
2026. 6. 2 오후 7:14:30,분리수거,03,시나리오4,C4: Ours2,,,,,,,2개 이상,캔,대상 물체가 현재 위치에서 잡을 수 있는지 여부,대상 물체가 로봇이 잡을 수 있는 범위 밖에 있기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,1,2,5,3,1,2,3,2,3,3,3,3,6,6,6,1
2026. 6. 2 오후 7:19:38,분리수거,03,시나리오3,C5: KnowNo,,,,,,,2개 이상,플라스틱,잘 모르겠다,대상 물체의 분리수거 품목 판단이 불확실하기 때문,현재 판단대로 분리수거 작업을 계속 진행함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,1,2,5,5,1,2,2,3,3,3,2,2,6,6,6,2
2026. 6. 2 오후 7:24:34,분리수거,03,시나리오1,C1: All,,,,,,,2개 이상,캔,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,2,2,5,3,1,2,3,3,3,3,3,3,6,6,6,3
2026. 6. 2 오후 7:28:57,분리수거,03,시나리오5,C3: Ours1,,,,,,,1개,캔,다음 물체의 존재유무,대상 물체의 분리수거 품목 판단이 불확실하기 때문,대기 상태를 유지함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,2,2,6,2,1,3,2,2,2,2,2,2,5,6,6,3
2026. 6. 2 오후 7:32:35,분리수거,03,시나리오2,C2: No,,,,,,,0개,캔,다음 물체의 존재유무,잘 모르겠다,작업을 종료함,대상 물체가 잘못된 분류함에 들어갈 수 있음,2,2,2,5,3,1,2,2,2,2,2,2,2,6,6,6,3
2026. 6. 2 오후 7:45:13,토마토 수확,03,시나리오4,C3: Ours1,2개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,2,2,5,3,1,2,3,2,2,3,3,2,6,6,6,1
2026. 6. 2 오후 7:50:24,토마토 수확,03,시나리오2,C1: All,0개,익음,로봇이 다음 위치로 이동해야 하는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,2,2,5,3,1,2,2,2,3,3,3,2,6,6,6,2
2026. 6. 2 오후 7:54:50,토마토 수확,03,시나리오1,C2: No,1개,덜 익음,로봇이 다음 위치로 이동해야 하는지 여부,잘 모르겠다,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,2,2,5,3,1,2,2,2,3,3,3,2,6,6,7,2
2026. 6. 2 오후 7:59:37,토마토 수확,03,시나리오5,C4: Ours2,2개,익음,로봇이 잘못 판단한 정보가 있는지 여부,토마토의 손상 여부 판단이 불확실하기 때문,현재 판단대로 작업을 계속 진행함,잘못된 토마토를 수확할 수 있음,,,,,,,2,2,2,5,3,1,3,2,2,2,2,3,3,5,6,6,3
