척도,문항,문항내용,도메인패널,조건 선택,평균,표준편차,표본수,값범위최소,값범위최대
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,분리수거,C2: No,1.18182,0.40452,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,분리수거,C3: Ours1,1.45455,1.21356,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,분리수거,C4: Ours2,1.45455,1.21356,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,분리수거,C5: KnowNo,1.36364,1.20605,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,통합,C1: All,1.5,1.18523,22,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,통합,C2: No,1.22727,0.528413,22,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,통합,C3: Ours1,1.40909,1.05375,22,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,통합,C4: Ours2,1.36364,0.953463,22,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,통합,C5: KnowNo,1.31818,0.945484,22,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,토마토 수확,C1: All,1.63636,0.6742,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,토마토 수확,C2: No,1.72727,0.786245,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,토마토 수확,C3: Ours1,1.54545,0.522233,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,토마토 수확,C4: Ours2,1.45455,0.522233,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,토마토 수확,C5: KnowNo,1.54545,0.522233,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,분리수거,C1: All,1.54545,0.522233,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,분리수거,C2: No,1.54545,0.687552,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,분리수거,C3: Ours1,2,1.18322,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,분리수거,C4: Ours2,1.72727,0.64667,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,분리수거,C5: KnowNo,1.81818,0.750757,11,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,통합,C1: All,1.59091,0.590326,22,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,통합,C2: No,1.63636,0.726731,22,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,통합,C3: Ours1,1.77273,0.922307,22,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,통합,C4: Ours2,1.59091,0.590326,22,0,7
Survey,N3,N3. 과업 수행 속도는 얼마나 급박하거나 서두르게 느껴졌습니까?,통합,C5: KnowNo,1.68182,0.646335,22,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,토마토 수확,C1: All,5.27273,1.19087,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,토마토 수확,C2: No,5.81818,0.98165,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,토마토 수확,C3: Ours1,6.09091,0.831209,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,토마토 수확,C4: Ours2,6,0.774597,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,토마토 수확,C5: KnowNo,6.27273,0.64667,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,분리수거,C1: All,5.63636,1.68954,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,분리수거,C2: No,6.09091,1.04447,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,분리수거,C3: Ours1,5.90909,1.22103,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,분리수거,C4: Ours2,6.54545,0.687552,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,분리수거,C5: KnowNo,5.45455,1.03573,11,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,통합,C1: All,5.45455,1.43849,22,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,통합,C2: No,5.95455,0.998917,22,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,통합,C3: Ours1,6,1.02353,22,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,통합,C4: Ours2,6.27273,0.767297,22,0,7
Survey,N4,N4. 요청받은 과업을 얼마나 성공적으로 수행했다고 느끼셨습니까?,통합,C5: KnowNo,5.86364,0.940894,22,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,토마토 수확,C1: All,3.45455,1.80907,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,토마토 수확,C2: No,2,1.18322,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,토마토 수확,C3: Ours1,3.18182,1.60114,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,토마토 수확,C4: Ours2,2.54545,1.36848,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,토마토 수확,C5: KnowNo,3,1.34164,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,분리수거,C1: All,3.18182,1.94001,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,분리수거,C2: No,2.18182,0.98165,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,분리수거,C3: Ours1,3.36364,1.74773,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,분리수거,C4: Ours2,2.54545,1.21356,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,분리수거,C5: KnowNo,3.90909,1.7581,11,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,통합,C1: All,3.31818,1.83579,22,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,통합,C2: No,2.09091,1.06499,22,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,통합,C3: Ours1,3.27273,1.63829,22,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,통합,C4: Ours2,2.54545,1.26217,22,0,7
Survey,N5,N5. 과업 성공을 위해 얼마나 열심히 노력해야 했습니까?,통합,C5: KnowNo,3.45455,1.59545,22,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",토마토 수확,C1: All,1.36364,0.924416,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",토마토 수확,C2: No,1.18182,0.40452,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",토마토 수확,C3: Ours1,1.27273,0.467099,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",토마토 수확,C4: Ours2,1.18182,0.40452,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",토마토 수확,C5: KnowNo,1.27273,0.467099,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",분리수거,C1: All,1.72727,1.19087,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",분리수거,C2: No,1.18182,0.40452,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",분리수거,C3: Ours1,1.54545,0.687552,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",분리수거,C4: Ours2,1.36364,0.6742,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",분리수거,C5: KnowNo,1.63636,0.80904,11,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",통합,C1: All,1.54545,1.05683,22,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",통합,C2: No,1.18182,0.394771,22,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",통합,C3: Ours1,1.40909,0.590326,22,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",통합,C4: Ours2,1.27273,0.550482,22,0,7
Survey,N6,"N6. 과업 수행 중 얼마나 불안하고, 낙담되고, 짜증나고, 스트레스 받는다고 느끼셨습니까?",통합,C5: KnowNo,1.45455,0.670982,22,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,토마토 수확,C1: All,2.90909,1.6404,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,토마토 수확,C2: No,2.18182,1.16775,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,토마토 수확,C3: Ours1,3.18182,1.60114,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,토마토 수확,C4: Ours2,2.54545,1.29334,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,토마토 수확,C5: KnowNo,2.90909,1.81409,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,분리수거,C1: All,2.63636,1.85864,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,분리수거,C2: No,2.72727,1.73729,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,분리수거,C3: Ours1,2.90909,1.57826,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,분리수거,C4: Ours2,2.54545,1.63485,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,분리수거,C5: KnowNo,3.09091,1.51357,11,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,통합,C1: All,2.77273,1.71636,22,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,통합,C2: No,2.45455,1.47122,22,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,통합,C3: Ours1,3.04545,1.55769,22,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,통합,C4: Ours2,2.54545,1.43849,22,0,7
Survey,F,F. 피로 수준은 어느 정도 입니까?,통합,C5: KnowNo,3,1.63299,22,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,토마토 수확,C1: All,2.81818,1.60114,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,토마토 수확,C2: No,2,1.18322,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,토마토 수확,C3: Ours1,2.63636,1.20605,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,토마토 수확,C4: Ours2,2.18182,1.16775,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,토마토 수확,C5: KnowNo,2.36364,1.36182,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,분리수거,C1: All,2.09091,0.94388,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,분리수거,C2: No,2.72727,1.48936,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,분리수거,C3: Ours1,3.18182,1.77866,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,분리수거,C4: Ours2,2.90909,1.6404,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,분리수거,C5: KnowNo,2.72727,1.42063,11,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,통합,C1: All,2.45455,1.3355,22,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,통합,C2: No,2.36364,1.36436,22,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,통합,C3: Ours1,2.90909,1.50899,22,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,통합,C4: Ours2,2.54545,1.43849,22,0,7
Survey,S1,S1. 상황이 얼마나 변하기 쉬운가요?,통합,C5: KnowNo,2.54545,1.37069,22,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,토마토 수확,C1: All,2.63636,1.50151,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,토마토 수확,C2: No,1.72727,1.00905,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,토마토 수확,C3: Ours1,2,0.774597,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,토마토 수확,C4: Ours2,1.72727,1.00905,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,토마토 수확,C5: KnowNo,1.90909,0.94388,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,분리수거,C1: All,2.36364,1.43337,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,분리수거,C2: No,2.63636,1.5667,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,분리수거,C3: Ours1,2.36364,1.50151,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,분리수거,C4: Ours2,2,1,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,분리수거,C5: KnowNo,2.90909,1.3751,11,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,통합,C1: All,2.5,1.43925,22,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,통합,C2: No,2.18182,1.36753,22,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,통합,C3: Ours1,2.18182,1.18065,22,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,통합,C4: Ours2,1.86364,0.990212,22,0,7
Survey,S2,S2. 상황이 얼마나 복잡한가요?,통합,C5: KnowNo,2.40909,1.2596,22,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,토마토 수확,C1: All,2.45455,0.934199,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,토마토 수확,C2: No,1.90909,0.831209,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,토마토 수확,C3: Ours1,2.18182,0.98165,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,토마토 수확,C4: Ours2,2.36364,1.12006,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,토마토 수확,C5: KnowNo,2.09091,0.831209,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,분리수거,C1: All,2.72727,1.3484,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,분리수거,C2: No,3,1.54919,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,분리수거,C3: Ours1,3,1.48324,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,분리수거,C4: Ours2,2.54545,1.29334,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,분리수거,C5: KnowNo,3.18182,1.47093,11,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,통합,C1: All,2.59091,1.14056,22,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,통합,C2: No,2.45455,1.3355,22,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,통합,C3: Ours1,2.59091,1.29685,22,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,통합,C4: Ours2,2.45455,1.18431,22,0,7
Survey,S3,S3. 상황 안에서 얼마나 많은 변수가 변화하고 있나요?,통합,C5: KnowNo,2.63636,1.29267,22,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,토마토 수확,C1: All,4.27273,1.61808,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,토마토 수확,C2: No,3.63636,1.50151,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,토마토 수확,C3: Ours1,4.45455,1.63485,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,토마토 수확,C4: Ours2,4.18182,1.72152,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,토마토 수확,C5: KnowNo,4.09091,1.70027,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,분리수거,C1: All,4.54545,2.16165,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,분리수거,C2: No,3.90909,1.81409,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,분리수거,C3: Ours1,4.18182,1.88776,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,분리수거,C4: Ours2,3.90909,1.97254,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,분리수거,C5: KnowNo,4.54545,1.80907,11,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,통합,C1: All,4.40909,1.86851,22,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,통합,C2: No,3.77273,1.631,22,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,통합,C3: Ours1,4.31818,1.72892,22,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,통합,C4: Ours2,4.04545,1.81206,22,0,7
Survey,S4,S4. 현재 상황에서 얼마나 각성되어 있나요?,통합,C5: KnowNo,4.31818,1.72892,22,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,토마토 수확,C1: All,3,1.61245,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,토마토 수확,C2: No,3.36364,1.68954,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,토마토 수확,C3: Ours1,3.90909,1.81409,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,토마토 수확,C4: Ours2,4.36364,1.91169,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,토마토 수확,C5: KnowNo,4.45455,1.91644,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,분리수거,C1: All,3.54545,1.86353,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,분리수거,C2: No,3.45455,1.86353,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,분리수거,C3: Ours1,3.90909,1.92117,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,분리수거,C4: Ours2,3.45455,2.0181,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,분리수거,C5: KnowNo,4.72727,1.84883,11,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,통합,C1: All,3.27273,1.72328,22,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,통합,C2: No,3.40909,1.73642,22,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,통합,C3: Ours1,3.90909,1.82337,22,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,통합,C4: Ours2,3.90909,1.97386,22,0,7
Survey,S5,S5. 현재 상황에 얼마나 집중하고 있나요?,통합,C5: KnowNo,4.59091,1.84285,22,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,토마토 수확,C1: All,2.90909,1.57826,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,토마토 수확,C2: No,3.63636,1.74773,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,토마토 수확,C3: Ours1,3.45455,1.80907,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,토마토 수확,C4: Ours2,4.18182,2.08893,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,토마토 수확,C5: KnowNo,3.18182,1.72152,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,분리수거,C1: All,2.90909,1.7581,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,분리수거,C2: No,3.90909,1.92117,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,분리수거,C3: Ours1,3.72727,1.79393,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,분리수거,C4: Ours2,2.90909,1.81409,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,분리수거,C5: KnowNo,3.90909,1.8684,11,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,통합,C1: All,2.90909,1.63034,22,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,통합,C2: No,3.77273,1.79767,22,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,통합,C3: Ours1,3.59091,1.76363,22,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,통합,C4: Ours2,3.54545,2.01724,22,0,7
Survey,S6,S6. 현재 상황에서 주의가 얼마나 분산되어 있나요?,통합,C5: KnowNo,3.54545,1.79224,22,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,토마토 수확,C1: All,5.36364,1.5667,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,토마토 수확,C2: No,5.72727,1.00905,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,토마토 수확,C3: Ours1,5.45455,1.21356,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,토마토 수확,C4: Ours2,5.63636,0.924416,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,토마토 수확,C5: KnowNo,5.45455,1.12815,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,분리수거,C1: All,5,1.48324,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,분리수거,C2: No,5.72727,1.10371,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,분리수거,C3: Ours1,4.81818,1.25045,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,분리수거,C4: Ours2,5.63636,0.924416,11,0,7
Survey,S7,S7. 현재 상황에서 사용할 수 있는 여유 인지 자원이 얼마나 있나요?,분리수거,C5: KnowNo,5.09091,1.6404,11,0,7
